camera,date,filename,location,time,url
OldSamsung,2019-10-17,20191017_123237,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123244,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123246,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123250,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123254,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123258,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123300,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123312,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123356,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123358,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123358_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123358_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123359,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123359_capture(0),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123359_capture(1),Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123359_capture,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123401,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123412,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123417,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123419,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123425,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123426,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123427,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123430,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123431,Mauritius,NA,NA
OldSamsung,2019-10-17,20191017_123432,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190302-195806_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190302-195818_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190617-105901_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190617-105904_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190617-105906_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190617-105908_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190716-200835_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190822-114223_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190903-155306_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190903-193834_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190903-193907_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190903-194147_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190916-075244_Facebook,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190925-205430_myCloud,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190926-092910_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190926-092917_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190926-221340_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190926-221354_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190926-221358_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20190926-221400_WhatsApp,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191012-155500_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191012-205516_Maps,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191014-153127_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191015-151828_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191015-153853_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191015-153905_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191015-153931_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191015-153956_Gallery,Mauritius,NA,NA
OldSamsung,2019-10-22,Screenshot_20191015-154018_Gallery,Mauritius,NA,NA
