camera,date,filename,location,time,url
,25.May 2025,PHOTO-2025-05-21-16-32-30,PHOTO-2025-05-21-16-32-30,Sunday 13:38,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::QUlHcWdsbkxsU2E2ZUtlZy9TZGZSQT09?height=1080
SM-S908B,16.May 2025,20250516_225441,20250516_225441,Friday 22:54,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WisvTjJmOWQzdURiUW5mZUVoM3lpQT09?height=1080
SM-S908B,16.May 2025,20250516_193622,20250516_193622,Friday 19:36,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::RDRzV2NnWS9wMkZHM0tSUnVUVEQydz09?height=1080
SM-S908B,16.May 2025,20250516_193620,20250516_193620,Friday 19:36,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aVFNdGc5YzVNUU56ZWtuL1ZGL1pQQT09?height=1080
SM-S908B,16.May 2025,20250516_193618,20250516_193618,Friday 19:36,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aDk2SWEzUEZyeE0wNzZJZXFGUm93dz09?height=1080
iPhone 15 Pro Max,16.May 2025,89686E05-EFD2-4BC1-A1C3-05B35BEB49AF,89686E05-EFD2-4BC1-A1C3-05B35BEB49AF,Friday 14:49,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::bHVoY3RaQS9wTUp1NmFRaFNDcjJTZz09?height=1080
SM-S908B,16.May 2025,20250516_144915,20250516_144915,Friday 14:49,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::YkFzNktLY2J4VWwyMHNiUHlxR0M2QT09?height=1080
SM-S908B,16.May 2025,20250516_144908,20250516_144908,Friday 14:49,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Q2xWeSt5alg4WHpkWHhnc0E3MmlHQT09?height=1080
SM-S908B,16.May 2025,20250516_143016,20250516_143016,Friday 14:30,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::MlRad25UWGFxQnJ6VmIwSkJHdCtIUT09?height=1080
SM-S908B,16.May 2025,20250516_143015,20250516_143015,Friday 14:30,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::OVZ6T1lEWEtwOGY2cVM2Mzk1bkxodz09?height=1080
SM-S908B,16.May 2025,20250516_143014(0),20250516_143014(0),Friday 14:30,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::MzR3eVFjNGIxb2pJc1RhVDdVNjV6dz09?height=1080
SM-S908B,16.May 2025,20250516_143014,20250516_143014,Friday 14:30,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::dkpVaXgwb2JQVUVGN2ZadGMvdHFYdz09?height=1080
,16.May 2025,IMG_8796_1747503505527,IMG_8796_1747503505527,Friday 13:19,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::eXhGS09Fb2EzMldIZVVZSmtjdU5YUT09?height=1080
SM-S908B,16.May 2025,20250516_125750,20250516_125750,Friday 12:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::L1g0RWdnMWg5M3RjRk56VmtNVmZDdz09?height=1080
SM-S908B,16.May 2025,20250516_125748,20250516_125748,Friday 12:57,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::MXJZenkvZEQ5bGFES2tvQ0IwTVR2dz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8795,"Via di S. Maria del Pianto, 66, 00186 Roma RM, Italy",Friday 12:50,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::cExRd0FZOUNyTHlpNWZ6QStWT2lQdz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8794_1747503511427,"Piazza di Campitelli, 3435, 00186 Roma RM, Italy",Friday 12:40,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::REhLRHRIc0FVVFJiOS9SbXA2ckJZZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8793,"Piazza di Campitelli, 3435, 00186 Roma RM, Italy",Friday 12:39,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::QmZQYjlMZFA3ZmkrUXRXVzFqOTVaZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8792,"Piazza di Campitelli, 3435, 00186 Roma RM, Italy",Friday 12:39,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::VDJ0djdXYVlIWTA1d043VFAwa1Jwdz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8791,"Piazza di Campitelli, 3435, 00186 Roma RM, Italy",Friday 12:39,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ZEM1VGNhaHBwb1Jrajc0Y1J4NjdOUT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8790,"Piazza di Campitelli, 3430, 00186 Roma RM, Italy",Friday 12:39,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ZXRUMUJqdlNIME80U3NHSno3bGo1UT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8789_1747503525438,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:27,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Y2ZQQmNRU2V2WjBJWjkrN2h0LzVTdz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8788_1747503528921,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:27,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Y3NXdXFDcVArSlUwNlJ5ckMwSFpydz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8787,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:24,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ai9RQTlOM0ZrYnNINnJtSDJyaHUwdz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8786,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:19,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aTlVcW1JT1R3T25udEl6ejZqcUtCQT09?height=1080
SM-S908B,16.May 2025,20250516_121933,20250516_121933,Friday 12:19,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::V2l4Zk1MRlJzb0oraFMxRVhobE12QT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8785,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:16,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::UHM1enR2Z1RDU0dkbmhOT3c4SXh5QT09?height=1080
