camera,date,filename,location,time,url
iPhone 15 Pro Max,29.November 2025,IMG_9353,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 20:54,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::SDJQNVJmKzM0UUc5ZXBDQTF0T0I4UT09?height=1080
SM-S908B,29.November 2025,20251129_201413,20251129_201413,Saturday 20:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::OGMydnRrTVRNbGJCMytYOWxMMHRrQT09?height=1080
SM-S908B,29.November 2025,20251129_201401,20251129_201401,Saturday 20:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::NzdWN3h4b2E5aW05eUorMFdFVmZldz09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9350_1764702611349,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 19:13,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aWZKRFUyQ3NJUEQ0aVl3emRISVduQT09?height=1080
SM-S908B,29.November 2025,20251129_170050,20251129_170050,Saturday 17:00,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WGhHVWcrVi9LNHEycVdmWXVrZmordz09?height=1080
SM-S908B,29.November 2025,20251129_170040,20251129_170040,Saturday 17:00,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::U3Y1YXdTMDZSK1Y2cHYyUC9udk1MQT09?height=1080
SM-S908B,29.November 2025,20251129_165422,20251129_165422,Saturday 16:54,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WGJSRzViUDZtRUkyQXM4TGE0YUlnQT09?height=1080
SM-S908B,29.November 2025,20251129_134645,20251129_134645,Saturday 13:46,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::NFQxTTY0UlhJcVNKMStOWW5wSW9uQT09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9347_1764702618503,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 11:21,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::dW5VNkNIN2hBcjZ3b28wWE5jMU5rdz09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9346_1764702626489,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 11:21,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ZE9teldFU1ppTElvbnZvT1MzclFFdz09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9345_1764702632547,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 11:20,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::cmFGYTlzZFhSYjUxaUtseGpac1dTZz09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9344_1764702638367,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 11:20,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WFJqWUVuM095dEUzVGR3TVM2R1QwQT09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9343,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 11:15,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::VUtzbGVUUTVvYUYyT2VOaUlXbGQ3UT09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9342,"J37V+GM Morro de São Paulo, Cairu - State of Bahia, Brazil",Saturday 11:15,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::d3RwM2FXWTk3c0ErVEZwbTFoZUl6Zz09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9341,"R. da Prainha, 286 - Morro de São Paulo, Cairu - BA, 45420-000, Brazil",Saturday 11:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::QWp1MUJuTUM2VEtOTC94M0pyV0ppZz09?height=1080
iPhone 15 Pro Max,29.November 2025,IMG_9340,"J37V+FJ Morro de São Paulo, Cairu - State of Bahia, Brazil",Saturday 11:11,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::dTh2M1ROSHEzcmdEbWpCWVQvUy9xUT09?height=1080
SM-S908B,29.November 2025,20251129_103539,20251129_103539,Saturday 10:35,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Z0hZNHBvZG9lSE1NeGZSWUo3cUJtQT09?height=1080
SM-S908B,29.November 2025,20251129_103438,20251129_103438,Saturday 10:34,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::TERYaUxsR003TjB6eHdJYjc5OTE5dz09?height=1080
SM-S908B,29.November 2025,20251129_103437,20251129_103437,Saturday 10:34,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::bkg2MEM0RkxmVXFqQjVQNHNsbHVtdz09?height=1080
SM-S908B,29.November 2025,20251129_103424,20251129_103424,Saturday 10:34,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::bTlRdk44VzlsZlg1TWNHTWdObkV6UT09?height=1080
SM-S908B,29.November 2025,20251129_103233,20251129_103233,Saturday 10:32,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::NUpyY2lzUVRpRXBralpRaERqcjB2dz09?height=1080
